Results After 1000 Battles:		Battle Time: 2024-12-12 11:07:26

Battle 1: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 940: Attacker Dice: [6, 6], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 941: Attacker Dice: [6, 3], Defender Dice: [4, 3], Outcome: Draw
Battle 942: Attacker Dice: [4, 2], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 943: Attacker Dice: [5, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 944: Attacker Dice: [6, 3], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 945: Attacker Dice: [6, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 946: Attacker Dice: [6, 6], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 947: Attacker Dice: [6, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 948: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 949: Attacker Dice: [2, 2], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 950: Attacker Dice: [5, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 951: Attacker Dice: [6, 5], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 952: Attacker Dice: [6, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 953: Attacker Dice: [4, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 954: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 955: Attacker Dice: [6, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 956: Attacker Dice: [4, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 957: Attacker Dice: [5, 3], Defender Dice: [5, 2], Outcome: Draw
Battle 958: Attacker Dice: [5, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 959: Attacker Dice: [6, 1], Defender Dice: [3, 2], Outcome: Draw
Battle 960: Attacker Dice: [5, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 961: Attacker Dice: [4, 3], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 962: Attacker Dice: [6, 3], Defender Dice: [5, 3], Outcome: Draw
Battle 963: Attacker Dice: [5, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 964: Attacker Dice: [5, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 965: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 966: Attacker Dice: [3, 1], Defender Dice: [2, 1], Outcome: Draw
Battle 967: Attacker Dice: [4, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 968: Attacker Dice: [6, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 969: Attacker Dice: [4, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 970: Attacker Dice: [6, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 971: Attacker Dice: [4, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 972: Attacker Dice: [6, 4], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 973: Attacker Dice: [6, 5], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 974: Attacker Dice: [6, 4], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 975: Attacker Dice: [4, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 976: Attacker Dice: [6, 6], Defender Dice: [6, 4], Outcome: Draw
Battle 977: Attacker Dice: [5, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 978: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 979: Attacker Dice: [6, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 980: Attacker Dice: [5, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 981: Attacker Dice: [6, 3], Defender Dice: [5, 4], Outcome: Draw
Battle 982: Attacker Dice: [6, 6], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 983: Attacker Dice: [5, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 984: Attacker Dice: [6, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 985: Attacker Dice: [4, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 986: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 987: Attacker Dice: [5, 4], Defender Dice: [5, 1], Outcome: Draw
Battle 988: Attacker Dice: [4, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 989: Attacker Dice: [6, 3], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 990: Attacker Dice: [5, 1], Defender Dice: [4, 1], Outcome: Draw
Battle 991: Attacker Dice: [6, 4], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 992: Attacker Dice: [6, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 993: Attacker Dice: [5, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 994: Attacker Dice: [4, 3], Defender Dice: [4, 4], Outcome: Defender Wins
Battle 995: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 996: Attacker Dice: [6, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 997: Attacker Dice: [3, 1], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 998: Attacker Dice: [3, 2], Defender Dice: [4, 4], Outcome: Defender Wins
Battle 999: Attacker Dice: [4, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 1000: Attacker Dice: [6, 3], Defender Dice: [6, 3], Outcome: Defender Wins

Summary:
Attacker Wins: 381
Defender Wins: 298
Draws: 321

Full Battle Results:		Battle Time: 2024-12-12 11:07:26

Attacker Dice: [5, 5], Defender Dice: [5, 3], Attacker Troops: 39, Defender Troops: 39
Attacker Dice: [4, 1], Defender Dice: [3, 1], Attacker Troops: 38, Defender Troops: 38
Attacker Dice: [4, 3], Defender Dice: [5, 2], Attacker Troops: 37, Defender Troops: 37
Attacker Dice: [4, 3], Defender Dice: [4, 3], Attacker Troops: 35, Defender Troops: 37
Attacker Dice: [4, 3], Defender Dice: [4, 4], Attacker Troops: 33, Defender Troops: 37
Attacker Dice: [4, 3], Defender Dice: [2, 1], Attacker Troops: 33, Defender Troops: 35
Attacker Dice: [3, 2], Defender Dice: [4, 3], Attacker Troops: 31, Defender Troops: 35
Attacker Dice: [5, 3], Defender Dice: [4, 1], Attacker Troops: 31, Defender Troops: 33
Attacker Dice: [5, 4], Defender Dice: [6, 2], Attacker Troops: 30, Defender Troops: 32
Attacker Dice: [6, 6], Defender Dice: [4, 3], Attacker Troops: 30, Defender Troops: 30
Attacker Dice: [4, 3], Defender Dice: [4, 3], Attacker Troops: 28, Defender Troops: 30
Attacker Dice: [5, 4], Defender Dice: [5, 4], Attacker Troops: 26, Defender Troops: 30
Attacker Dice: [5, 3], Defender Dice: [3, 3], Attacker Troops: 25, Defender Troops: 29
Attacker Dice: [6, 4], Defender Dice: [5, 2], Attacker Troops: 25, Defender Troops: 27
Attacker Dice: [5, 4], Defender Dice: [6, 2], Attacker Troops: 24, Defender Troops: 26
Attacker Dice: [6, 1], Defender Dice: [2, 1], Attacker Troops: 23, Defender Troops: 25
Attacker Dice: [5, 4], Defender Dice: [1, 1], Attacker Troops: 23, Defender Troops: 23
Attacker Dice: [4, 3], Defender Dice: [5, 2], Attacker Troops: 22, Defender Troops: 22
Attacker Dice: [3, 2], Defender Dice: [5, 1], Attacker Troops: 21, Defender Troops: 21
Attacker Dice: [6, 6], Defender Dice: [6, 4], Attacker Troops: 20, Defender Troops: 20
Attacker Dice: [6, 4], Defender Dice: [6, 3], Attacker Troops: 19, Defender Troops: 19
Attacker Dice: [6, 3], Defender Dice: [4, 3], Attacker Troops: 18, Defender Troops: 18
Attacker Dice: [4, 4], Defender Dice: [6, 2], Attacker Troops: 17, Defender Troops: 17
Attacker Dice: [5, 2], Defender Dice: [5, 4], Attacker Troops: 15, Defender Troops: 17
Attacker Dice: [5, 4], Defender Dice: [6, 1], Attacker Troops: 14, Defender Troops: 16
Attacker Dice: [5, 3], Defender Dice: [4, 3], Attacker Troops: 13, Defender Troops: 15
Attacker Dice: [5, 4], Defender Dice: [5, 1], Attacker Troops: 12, Defender Troops: 14
Attacker Dice: [4, 4], Defender Dice: [3, 1], Attacker Troops: 12, Defender Troops: 12
Attacker Dice: [3, 3], Defender Dice: [6, 3], Attacker Troops: 10, Defender Troops: 12
Attacker Dice: [5, 3], Defender Dice: [6, 3], Attacker Troops: 8, Defender Troops: 12
Attacker Dice: [4, 4], Defender Dice: [6, 6], Attacker Troops: 6, Defender Troops: 12
Attacker Dice: [5, 3], Defender Dice: [6, 5], Attacker Troops: 4, Defender Troops: 12
Attacker Dice: [3, 2], Defender Dice: [3, 2], Attacker Troops: 2, Defender Troops: 12
Attacker Dice: [6, 6], Defender Dice: [6, 6], Attacker Troops: 0, Defender Troops: 12

Final Attacker Troops: 0
Final Defender Troops: 12
